PF04624.15	DEC1
PF08713.12	DNA_alkylation
PF01035.21	DNA_binding_1
PF13724.7	DNA_binding_2
PF07157.13	DNA_circ_N
PF03989.14	DNA_gyraseA_C
PF00204.26	DNA_gyraseB
PF00986.22	DNA_gyraseB_C
PF03603.14	DNA_III_psi
PF04679.16	DNA_ligase_A_C
PF01068.22	DNA_ligase_A_M
PF04675.15	DNA_ligase_A_N
PF01653.19	DNA_ligase_aden
PF17879.2	DNA_ligase_C
PF11411.9	DNA_ligase_IV
PF03120.17	DNA_ligase_OB
PF14743.7	DNA_ligase_OB_2
PF03119.17	DNA_ligase_ZBD
PF18284.2	DNA_meth_N
PF00145.18	DNA_methylase
PF01119.20	DNA_mis_repair
PF02499.16	DNA_pack_C
PF02500.16	DNA_pack_N
PF11053.9	DNA_Packaging
PF11123.9	DNA_Packaging_2
PF00875.19	DNA_photolyase
PF00476.21	DNA_pol_A
PF01612.21	DNA_pol_A_exo1
PF18305.2	DNA_pol_A_exoN
PF12254.9	DNA_pol_alpha_N
PF00136.22	DNA_pol_B
PF03175.14	DNA_pol_B_2
PF08408.11	DNA_pol_B_3
PF03104.20	DNA_pol_B_exo1
PF10108.10	DNA_pol_B_exo2
PF18094.2	DNA_pol_B_N
PF14792.7	DNA_pol_B_palm
PF14791.7	DNA_pol_B_thumb
PF18018.2	DNA_pol_D_N
PF04081.14	DNA_pol_delta_4
PF04042.17	DNA_pol_E_B
PF10391.10	DNA_pol_lambd_f
PF18049.2	DNA_pol_P_Exo
PF04931.14	DNA_pol_phi
PF00336.19	DNA_pol_viral_C
PF00242.18	DNA_pol_viral_N
PF14480.7	DNA_pol3_a_NI
PF11490.9	DNA_pol3_a_NII
PF07733.13	DNA_pol3_alpha
PF00712.20	DNA_pol3_beta
PF02767.17	DNA_pol3_beta_2
PF02768.16	DNA_pol3_beta_3
PF04364.14	DNA_pol3_chi
PF14840.7	DNA_pol3_delt_C
PF06144.14	DNA_pol3_delta
PF13177.7	DNA_pol3_delta2
PF17657.2	DNA_pol3_finger
PF12169.9	DNA_pol3_gamma3
PF12168.9	DNA_pol3_tau_4
PF12170.9	DNA_pol3_tau_5
PF06440.12	DNA_pol3_theta
PF02916.16	DNA_PPF
PF04104.15	DNA_primase_lrg
PF01896.20	DNA_primase_S
PF02481.16	DNA_processg_A
PF14966.7	DNA_repr_REX1B
PF03604.14	DNA_RNApol_7kD
PF00521.21	DNA_topoisoIV
PF08696.12	Dna2
PF11638.9	DnaA_N
PF00772.22	DnaB
PF07261.12	DnaB_2
PF10410.10	DnaB_bind
PF03796.16	DnaB_C
PF08278.12	DnaG_DnaB_bind
PF16730.6	DnaGprimase_HBD
PF07319.12	DnaI_N
PF00226.32	DnaJ
PF01556.19	DnaJ_C
PF00684.20	DnaJ_CXXCXGXG
PF12339.9	DNAJ_related
PF14308.7	DnaJ-X
PF08452.11	DNAP_B_exo_N
PF18136.2	DNApol_Exo
PF09115.11	DNApol3-delta_C
PF11590.9	DNAPolymera_Pol
PF03265.16	DNase_II
PF14040.7	DNase_NucA_NucB
PF17948.2	DnaT
PF14709.8	DND1_DSRM
PF14072.7	DndB
PF08870.12	DndE
PF01712.20	dNK
PF12047.9	DNMT1-RFD
PF18192.2	DNTTIP1_dimer
PF16172.6	DOCK_N
PF14429.7	DOCK-C2
PF00404.19	Dockerin_1
PF08990.12	Docking
PF07311.13	Dodecin
PF14144.7	DOG1
PF03351.18	DOMON
PF08883.12	DOPA_dioxygen
PF04118.15	Dopey_N
PF11466.9	Doppel
PF14839.7	DOR
PF04124.13	Dor1
PF09475.11	Dot_icm_IcmQ
PF08123.14	DOT1
PF11388.9	DotA
PF16816.6	DotD
PF09850.10	DotU
PF07680.12	DoxA
PF04173.14	DoxD
PF07681.13	DoxX
PF13564.7	DoxX_2
PF13781.7	DoxX_3
PF08781.11	DP
PF08985.12	DP-EP
PF16924.6	DpaA_N
PF03330.19	DPBB_1
PF14913.7	DPCD
PF07297.13	DPM2
PF08285.12	DPM3
PF14207.7	DpnD-PcfM
PF06044.13	DpnI
PF17726.2	DpnI_C
PF04556.13	DpnII
PF18742.2	DpnII-MboI
PF12213.9	Dpoe2NT
PF14049.7	Dppa2_A
PF00930.22	DPPIV_N
PF18811.2	DPPIV_rep
PF17782.2	DprA_WH
PF04244.14	DPRP
PF05186.14	Dpy-30
PF10034.10	Dpy19
PF12393.9	Dr_adhesin
PF18069.2	DR2241
PF18092.2	DraK_HK_N
PF07357.12	DRAT
PF15550.7	Draxin
PF11719.9	Drc1-Sld2
PF16803.6	DRE2_N
PF05558.13	DREPP
PF05219.13	DREV
PF06345.12	Drf_DAD
PF06346.13	Drf_FH1
PF06367.17	Drf_FH3
PF06371.14	Drf_GBD
PF07539.13	DRIM
PF07522.15	DRMBL
PF14860.7	DrrA_P4M
PF02635.16	DrsE
PF13686.7	DrsE_2
PF07085.13	DRTGG
PF09750.10	DRY_EERY
PF01916.18	DS
PF01323.21	DSBA
PF02600.17	DsbB
PF11412.9	DsbC
PF10411.10	DsbC_N
PF02683.16	DsbD
PF13386.7	DsbD_2
PF18257.2	DsbG_N
PF12355.9	Dscam_C
PF01984.21	dsDNA_bind
PF12316.9	Dsh_C
PF08148.13	DSHCT
PF01414.20	DSL
PF11989.9	Dsl1_C
PF11988.9	Dsl1_N
PF00782.21	DSPc
PF14671.7	DSPn
PF10781.10	DSRB
PF17842.2	dsRBD2
PF04358.14	DsrC
PF08679.12	DsrD
PF04077.13	DsrH
PF00035.27	dsrm
PF05160.14	DSS1_SEM1
PF08828.11	DSX_dimer
PF18102.2	DTC
PF00908.18	dTDP_sugar_isom
PF08070.12	DTHCT
PF03942.16	DTW
PF18357.2	DtxR
PF06207.12	DUF1002
PF06210.12	DUF1003
PF06219.13	DUF1005
PF06226.14	DUF1007
PF06231.12	DUF1010
PF06237.13	DUF1011
PF06242.12	DUF1013
PF06245.12	DUF1015
PF17761.2	DUF1016_N
PF06252.13	DUF1018
PF06260.13	DUF1024
PF06265.12	DUF1027
PF06267.13	DUF1028
PF06269.13	DUF1029
PF06270.12	DUF1030
PF06275.12	DUF1031
PF06279.12	DUF1033
PF06281.13	DUF1035
PF06282.12	DUF1036
PF06287.12	DUF1039
PF01954.17	DUF104
PF06288.14	DUF1040
PF06292.18	DUF1041
PF06295.13	DUF1043
PF06299.13	DUF1045
PF06304.12	DUF1048
PF06327.15	DUF1053
PF06335.13	DUF1054
PF06341.12	DUF1056
PF06342.13	DUF1057
PF06348.12	DUF1059
PF06353.13	DUF1062
PF06356.12	DUF1064
PF06358.12	DUF1065
PF06362.12	DUF1067
PF06364.13	DUF1068
PF06370.12	DUF1069
PF06378.12	DUF1071
PF06380.12	DUF1072
PF06381.12	DUF1073
PF06388.12	DUF1075
PF06417.13	DUF1077
PF06435.12	DUF1079
PF01958.19	DUF108
PF06439.12	DUF1080
PF06448.12	DUF1081
PF06449.12	DUF1082
PF06454.12	DUF1084
PF06461.12	DUF1086
PF06465.14	DUF1087
PF06469.12	DUF1088
PF06476.13	DUF1090
PF06477.14	DUF1091
PF06486.12	DUF1093
PF06493.12	DUF1096
PF06496.12	DUF1097
PF06497.12	DUF1098
PF01345.19	DUF11
PF06500.12	DUF1100
PF06503.12	DUF1101
PF06510.12	DUF1102
PF06513.12	DUF1103
PF06518.12	DUF1104
PF06523.12	DUF1106
PF06526.13	DUF1107
PF06531.12	DUF1108
PF01969.18	DUF111
PF06533.13	DUF1110
PF06544.13	DUF1115
PF06545.12	DUF1116
PF06547.13	DUF1117
PF06549.13	DUF1118
PF06551.13	DUF1120
PF06557.12	DUF1122
PF06563.12	DUF1125
PF06565.13	DUF1126
PF06568.12	DUF1127
PF06569.12	DUF1128
PF06570.12	DUF1129
PF06572.13	DUF1131
PF06575.13	DUF1132
PF06576.12	DUF1133
PF06587.12	DUF1137
PF06592.14	DUF1138
PF06599.12	DUF1139
PF06600.12	DUF1140
PF06608.12	DUF1143
PF06611.13	DUF1145
PF06612.12	DUF1146
PF06615.12	DUF1147
PF06618.12	DUF1148
PF06619.12	DUF1149
PF06620.12	DUF1150
PF06625.12	DUF1151
PF06626.13	DUF1152
PF06627.12	DUF1153
PF06631.12	DUF1154
PF06633.12	DUF1155
PF06634.13	DUF1156
PF06636.12	DUF1157
PF06643.12	DUF1158
PF01976.18	DUF116
PF06648.12	DUF1160
PF06649.13	DUF1161
PF06651.12	DUF1163
PF06658.13	DUF1168
PF06663.14	DUF1170
PF06666.12	DUF1173
PF06671.12	DUF1174
PF06672.12	DUF1175
PF06674.12	DUF1176
PF06675.12	DUF1177
PF06676.12	DUF1178
PF06678.12	DUF1179
PF06679.13	DUF1180
PF06680.12	DUF1181
PF06681.14	DUF1182
PF06683.12	DUF1184
PF06685.12	DUF1186
PF06688.12	DUF1187
PF06690.12	DUF1188
PF06691.12	DUF1189
PF06693.12	DUF1190
PF06697.13	DUF1191
PF06698.12	DUF1192
PF06707.12	DUF1194
PF06708.12	DUF1195
PF06709.12	DUF1196
PF06711.12	DUF1198
PF06712.12	DUF1199
PF06716.12	DUF1201
PF06717.12	DUF1202
PF06718.12	DUF1203
PF06721.12	DUF1204
PF06722.13	DUF1205
PF06724.12	DUF1206
PF06727.12	DUF1207
PF06736.12	DUF1211
PF06740.13	DUF1213
PF06742.12	DUF1214
PF06746.12	DUF1216
PF06748.13	DUF1217
PF06749.13	DUF1218
PF06760.12	DUF1221
PF06764.12	DUF1223
PF06797.12	DUF1229
PF01986.17	DUF123
PF06799.12	DUF1230
PF06802.12	DUF1231
PF06803.13	DUF1232
PF06806.13	DUF1233
PF06822.13	DUF1235
PF06823.13	DUF1236
PF06836.13	DUF1240
PF06840.12	DUF1241
PF06842.13	DUF1242
PF06844.12	DUF1244
PF06849.13	DUF1246
PF06851.12	DUF1247
PF06852.13	DUF1248
PF06853.13	DUF1249
PF06856.12	DUF1251
PF06863.13	DUF1254
PF06866.12	DUF1256
PF06868.12	DUF1257
PF06869.13	DUF1258
PF01989.17	DUF126
PF06880.12	DUF1262
PF06882.13	DUF1263
PF06884.12	DUF1264
PF06887.15	DUF1265
PF06889.12	DUF1266
PF06897.13	DUF1269
PF06900.12	DUF1270
PF06906.12	DUF1272
PF06912.12	DUF1275
PF06916.14	DUF1279
PF06918.15	DUF1280
PF06924.12	DUF1281
PF18406.2	DUF1281_C
PF06932.12	DUF1283
PF06935.12	DUF1284
PF06938.12	DUF1285
PF06939.12	DUF1286
PF06940.12	DUF1287
PF06945.14	DUF1289
PF06947.13	DUF1290
PF06949.12	DUF1292
PF06950.12	DUF1293
PF06961.14	DUF1294
PF06966.13	DUF1295
PF06972.12	DUF1296
PF06973.13	DUF1297
PF06975.12	DUF1299
PF06980.12	DUF1302
PF06993.13	DUF1304
PF06998.12	DUF1307
PF07000.12	DUF1308
PF01998.18	DUF131
PF07006.12	DUF1310
PF07013.12	DUF1314
PF07023.13	DUF1315
PF07026.12	DUF1317
PF07027.13	DUF1318
PF07028.12	DUF1319
PF07030.13	DUF1320
PF07032.12	DUF1322
PF07037.12	DUF1323
PF07038.12	DUF1324
PF07039.12	DUF1325
PF07040.12	DUF1326
PF07041.12	DUF1327
PF07043.14	DUF1328
PF07044.12	DUF1329
PF07045.12	DUF1330
PF07048.12	DUF1331
PF07056.12	DUF1335
PF07059.13	DUF1336
PF07063.14	DUF1338
PF02001.17	DUF134
PF07067.12	DUF1340
PF07075.12	DUF1343
PF07076.12	DUF1344
PF07077.12	DUF1345
PF07079.12	DUF1347
PF07080.12	DUF1348
PF07081.12	DUF1349
PF07082.12	DUF1350
PF07083.12	DUF1351
PF07087.12	DUF1353
PF07092.13	DUF1356
PF07094.12	DUF1357
PF07096.12	DUF1358
PF07097.12	DUF1359
PF07098.12	DUF1360
PF07099.12	DUF1361
PF07101.12	DUF1363
PF07102.13	DUF1364
PF07103.12	DUF1365
PF07104.12	DUF1366
PF07105.12	DUF1367
PF07112.12	DUF1368
PF07116.12	DUF1372
PF07117.12	DUF1373
PF07118.12	DUF1374
PF07119.13	DUF1375
PF07120.12	DUF1376
PF07125.12	DUF1378
PF07128.13	DUF1380
PF07129.12	DUF1381
PF07131.12	DUF1382
PF07134.12	DUF1383
PF07136.12	DUF1385
PF07138.12	DUF1386
PF07139.12	DUF1387
PF07142.13	DUF1388
PF07146.12	DUF1389
PF07150.12	DUF1390
PF07151.13	DUF1391
PF07154.12	DUF1392
PF07159.13	DUF1394
PF07165.12	DUF1397
PF07166.12	DUF1398
PF07176.12	DUF1400
PF07182.12	DUF1402
PF07183.12	DUF1403
PF07185.12	DUF1404
PF07187.12	DUF1405
PF07190.12	DUF1406
PF07193.12	DUF1408
PF07197.13	DUF1409
PF07198.12	DUF1410
PF07199.12	DUF1411
PF07203.12	DUF1412
PF07205.12	DUF1413
PF07208.12	DUF1414
PF07209.13	DUF1415
PF07210.13	DUF1416
PF07214.13	DUF1418
PF07215.12	DUF1419
PF07220.12	DUF1420
PF07223.12	DUF1421
PF07226.12	DUF1422
PF07232.12	DUF1424
PF07233.13	DUF1425
PF07235.12	DUF1427
PF07237.12	DUF1428
PF07242.12	DUF1430
PF07248.13	DUF1431
PF07252.12	DUF1433
PF07256.13	DUF1435
PF07270.12	DUF1438
PF07273.13	DUF1439
PF07274.13	DUF1440
PF07278.12	DUF1441
PF07279.12	DUF1442
PF07285.12	DUF1444
PF07286.13	DUF1445
PF07288.12	DUF1447
PF07290.12	DUF1449
PF07293.12	DUF1450
PF07295.12	DUF1451
PF07301.12	DUF1453
PF07305.13	DUF1454
PF07306.12	DUF1455
PF07308.14	DUF1456
PF07312.12	DUF1459
PF07313.13	DUF1460
PF07314.12	DUF1461
PF07315.12	DUF1462
PF07316.12	DUF1463
PF07318.13	DUF1464
PF07323.13	DUF1465
PF07330.13	DUF1467
PF07338.14	DUF1471
PF07339.13	DUF1472
PF07341.12	DUF1473
PF07342.12	DUF1474
PF07343.12	DUF1475
PF07345.12	DUF1476
PF07346.12	DUF1477
PF07349.12	DUF1478
PF07350.13	DUF1479
PF02520.18	DUF148
PF07351.14	DUF1480
PF07356.13	DUF1481
PF07358.12	DUF1482
PF07363.12	DUF1484
PF07364.13	DUF1485
PF07368.12	DUF1487
PF07369.12	DUF1488
PF07370.12	DUF1489
PF07371.13	DUF1490
PF07372.13	DUF1491
PF07374.12	DUF1492
PF07377.13	DUF1493
PF07379.12	DUF1494
PF07381.12	DUF1495
PF07383.13	DUF1496
PF07384.12	DUF1497
PF07386.12	DUF1499
PF02576.18	DUF150
PF17384.3	DUF150_C
PF07389.13	DUF1500
PF07394.13	DUF1501
PF07397.12	DUF1502
PF07403.12	DUF1505
PF07405.12	DUF1506
PF07408.12	DUF1507
PF07411.13	DUF1508
PF07420.12	DUF1509
PF02577.15	DUF151
PF07423.12	DUF1510
PF07431.13	DUF1512
PF07433.12	DUF1513
PF07438.12	DUF1514
PF07439.12	DUF1515
PF07457.12	DUF1516
PF07466.12	DUF1517
PF07469.13	DUF1518
PF07481.12	DUF1521
PF07482.12	DUF1522
PF07509.12	DUF1523
PF07510.12	DUF1524
PF07511.12	DUF1525
PF07485.12	DUF1529
PF07550.12	DUF1533
PF07551.12	DUF1534
PF07556.12	DUF1538
PF07560.12	DUF1539
PF07561.12	DUF1540
PF07563.12	DUF1541
PF07564.12	DUF1542
PF07566.13	DUF1543
PF07577.12	DUF1547
PF07579.12	DUF1548
PF02582.15	DUF155
PF07588.12	DUF1554
PF07590.12	DUF1556
PF07598.12	DUF1561
PF07599.12	DUF1563
PF07600.12	DUF1564
PF07602.12	DUF1565
PF07603.12	DUF1566
PF07606.12	DUF1569
PF07607.12	DUF1570
PF07608.12	DUF1571
PF07609.12	DUF1572
PF07610.12	DUF1573
PF07611.12	DUF1574
PF07613.12	DUF1576
PF07614.12	DUF1577
PF07617.12	DUF1579
PF07618.12	DUF1580
PF07619.12	DUF1581
PF07621.12	DUF1582
PF07622.12	DUF1583
PF07628.12	DUF1589
PF07632.12	DUF1593
PF07643.12	DUF1598
PF07659.12	DUF1599
PF01519.17	DUF16
PF07667.12	DUF1600
PF07671.12	DUF1601
PF07713.14	DUF1604
PF07753.12	DUF1609
PF07754.12	DUF1610
PF07755.12	DUF1611
PF17396.3	DUF1611_N
PF07756.13	DUF1612
PF07758.12	DUF1614
PF07759.13	DUF1615
PF07760.12	DUF1616
PF07761.13	DUF1617
PF07762.15	DUF1618
PF07773.12	DUF1619
PF07784.12	DUF1622
PF07785.12	DUF1623
PF07786.13	DUF1624
PF07789.13	DUF1627
PF07791.12	DUF1629
PF07793.12	DUF1631
PF07794.12	DUF1633
PF07843.12	DUF1634
PF07795.12	DUF1635
PF07845.12	DUF1636
PF07796.12	DUF1638
PF07797.15	DUF1639
PF07798.12	DUF1640
PF07849.12	DUF1641
PF07852.12	DUF1642
PF07799.13	DUF1643
PF07800.13	DUF1644
PF07816.12	DUF1645
PF07854.13	DUF1646
PF07801.12	DUF1647
PF07853.12	DUF1648
PF07864.12	DUF1651
PF07865.12	DUF1652
PF07866.12	DUF1653
PF07867.12	DUF1654
PF07868.12	DUF1655
PF07869.13	DUF1656
PF07870.12	DUF1657
PF07872.12	DUF1659
PF02593.15	DUF166
PF07874.12	DUF1660
PF07877.12	DUF1661
PF07909.12	DUF1663
PF07889.13	DUF1664
PF07891.13	DUF1666
PF07892.12	DUF1667
PF07893.14	DUF1668
PF02594.17	DUF167
PF07900.12	DUF1670
PF07901.12	DUF1672
PF07895.12	DUF1673
PF07896.13	DUF1674
PF07898.14	DUF1676
PF07911.14	DUF1677
PF07913.12	DUF1678
PF07914.12	DUF1679
PF07933.15	DUF1681
PF07946.15	DUF1682
PF07920.12	DUF1684
PF07939.12	DUF1685
PF07937.12	DUF1686
PF07955.12	DUF1687
PF07958.12	DUF1688
PF07954.12	DUF1689
PF02596.16	DUF169
PF07956.12	DUF1690
PF07950.12	DUF1691
PF07997.12	DUF1694
PF08002.12	DUF1697
PF08004.12	DUF1699
PF08006.12	DUF1700
PF08012.12	DUF1702
PF08014.12	DUF1704
PF08020.12	DUF1706
PF08044.12	DUF1707
PF08101.12	DUF1708
PF08213.12	DUF1713
PF05414.12	DUF1717
PF08224.12	DUF1719
PF08226.12	DUF1720
PF08349.12	DUF1722
PF08350.11	DUF1724
PF08333.12	DUF1725
PF08351.12	DUF1726
PF08353.11	DUF1727
PF08354.11	DUF1729
PF08331.11	DUF1730
PF08338.12	DUF1731
PF08340.12	DUF1732
PF08522.11	DUF1735
PF08409.12	DUF1736
PF08410.11	DUF1737
PF08401.12	DUF1738
PF08427.11	DUF1741
PF08489.12	DUF1743
PF08490.13	DUF1744
PF08508.11	DUF1746
PF08520.11	DUF1748
PF08538.11	DUF1749
PF08551.11	DUF1751
PF08550.11	DUF1752
PF08555.11	DUF1754
PF08560.11	DUF1757
PF05585.13	DUF1758
PF03564.16	DUF1759
PF08570.11	DUF1761
PF08576.11	DUF1764
PF08578.11	DUF1765
PF08588.11	DUF1769
PF08589.11	DUF1770
PF08590.11	DUF1771
PF08592.12	DUF1772
PF08593.11	DUF1773
PF08611.11	DUF1774
PF07987.12	DUF1775
PF08643.11	DUF1776
PF08681.12	DUF1778
PF08680.11	DUF1779
PF08682.11	DUF1780
PF08735.11	DUF1786
PF08747.12	DUF1788
PF02622.16	DUF179
PF08760.12	DUF1793
PF08768.12	DUF1794
PF08795.11	DUF1796
PF08796.11	DUF1797
PF08807.11	DUF1798
PF08809.12	DUF1799
PF08811.12	DUF1800
PF08818.12	DUF1801
PF08819.12	DUF1802
PF08820.11	DUF1803
PF08822.12	DUF1804
PF08827.12	DUF1805
PF08830.11	DUF1806
PF08837.12	DUF1810
PF08838.11	DUF1811
PF08844.11	DUF1815
PF08846.11	DUF1816
PF08848.12	DUF1818
PF08849.12	DUF1819
PF08850.12	DUF1820
PF08852.12	DUF1822
PF08853.12	DUF1823
PF08854.11	DUF1824
PF08855.11	DUF1825
PF08856.12	DUF1826
PF08860.11	DUF1827
PF08861.11	DUF1828
PF08862.11	DUF1829
PF08865.12	DUF1830
PF08866.11	DUF1831
PF08875.12	DUF1833
PF08873.12	DUF1834
PF08874.11	DUF1835
PF08876.12	DUF1836
PF08878.12	DUF1837
PF08894.12	DUF1838
PF08893.11	DUF1839
PF08895.12	DUF1840
PF08897.12	DUF1841
PF08896.11	DUF1842
PF08898.11	DUF1843
PF08899.12	DUF1844
PF08900.12	DUF1845
PF08903.12	DUF1846
PF08901.12	DUF1847
PF08902.12	DUF1848
PF08905.12	DUF1850
PF08906.12	DUF1851
PF08908.12	DUF1852
PF08907.12	DUF1853
PF08909.12	DUF1854
PF08983.11	DUF1856
PF08982.12	DUF1857
PF08984.12	DUF1858
PF08948.11	DUF1859
PF08949.11	DUF1860
PF08950.11	DUF1861
PF08937.12	DUF1863
PF08933.12	DUF1864
PF08952.12	DUF1866
PF08956.11	DUF1869
PF08965.11	DUF1870
PF08958.11	DUF1871
PF08960.11	DUF1874
PF08962.12	DUF1876
PF08974.11	DUF1877
PF08963.11	DUF1878
PF02639.15	DUF188
PF08966.12	DUF1882
PF08980.11	DUF1883
PF08967.11	DUF1884
PF08968.11	DUF1885
PF09002.12	DUF1887
PF08986.11	DUF1889
PF09001.12	DUF1890
PF09004.11	DUF1891
PF08987.11	DUF1892
PF08979.12	DUF1894
PF08989.11	DUF1896
PF09005.11	DUF1897
PF08953.12	DUF1899
PF01579.19	DUF19
PF02641.16	DUF190
PF08972.12	DUF1902
PF08921.12	DUF1904
PF08922.12	DUF1905
PF08924.12	DUF1906
PF08925.12	DUF1907
PF08926.12	DUF1908
PF08928.11	DUF1910
PF08929.11	DUF1911
PF08930.11	DUF1912
PF08939.11	DUF1917
PF08940.12	DUF1918
PF08942.11	DUF1919
PF02643.16	DUF192
PF09081.11	DUF1921
PF09082.11	DUF1922
PF09083.11	DUF1923
PF09086.12	DUF1924
PF09094.12	DUF1925
PF09095.12	DUF1926
PF09118.12	DUF1929
PF09122.11	DUF1930
PF09123.12	DUF1931
PF09130.12	DUF1932
PF09147.11	DUF1933
PF09148.11	DUF1934
PF09149.11	DUF1935
PF09151.11	DUF1936
PF09152.11	DUF1937
PF09153.11	DUF1938
PF09154.11	DUF1939
PF09155.11	DUF1940
PF09167.12	DUF1942
PF09172.12	DUF1943
PF09175.11	DUF1944
PF09178.11	DUF1945
PF09183.11	DUF1947
PF09185.11	DUF1948
PF09186.12	DUF1949
PF09188.11	DUF1951
PF09189.11	DUF1952
PF09196.11	DUF1953
PF09205.11	DUF1955
PF09210.12	DUF1957
PF09211.11	DUF1958
PF09218.11	DUF1959
PF09224.12	DUF1961
PF09227.11	DUF1962
PF09234.11	DUF1963
PF09244.11	DUF1964
PF09248.11	DUF1965
PF09260.12	DUF1966
PF09269.12	DUF1967
PF09291.11	DUF1968
PF09301.11	DUF1970
PF09313.12	DUF1971
PF09314.12	DUF1972
PF09317.12	DUF1974
PF09320.12	DUF1977
PF09321.11	DUF1978
PF09322.11	DUF1979
PF09323.11	DUF1980
PF09324.11	DUF1981
PF09327.12	DUF1983
PF09331.12	DUF1985
PF09342.12	DUF1986
PF09345.11	DUF1987
PF09347.11	DUF1989
PF09348.11	DUF1990
PF09350.11	DUF1992
PF09351.11	DUF1993
PF09353.11	DUF1995
PF09362.11	DUF1996
PF09366.11	DUF1997
PF09369.11	DUF1998
PF09390.11	DUF1999
PF09391.11	DUF2000
PF09393.11	DUF2001
PF09400.11	DUF2002
PF09406.11	DUF2004
PF09413.11	DUF2007
PF09418.11	DUF2009
PF09428.11	DUF2011
PF09430.11	DUF2012
PF09431.11	DUF2013
PF09427.11	DUF2014
PF09435.11	DUF2015
PF09436.11	DUF2016
PF09438.11	DUF2017
PF09442.11	DUF2018
PF09450.11	DUF2019
PF02656.16	DUF202
PF09449.11	DUF2020
PF09633.11	DUF2023
PF09630.11	DUF2024
PF09634.11	DUF2025
PF09641.11	DUF2026
PF09640.11	DUF2027
PF09667.11	DUF2028
PF09592.11	DUF2031
PF10356.10	DUF2034
PF10217.10	DUF2039
PF09745.10	DUF2040
PF09740.10	DUF2043
PF09741.10	DUF2045
PF09755.10	DUF2046
PF09752.10	DUF2048
PF09747.10	DUF2052
PF09767.10	DUF2053
PF10218.10	DUF2054
PF09829.10	DUF2057
PF09831.10	DUF2058
PF09832.10	DUF2059
PF09834.10	DUF2061
PF09835.10	DUF2062
PF09836.10	DUF2063
PF09837.10	DUF2064
PF09838.10	DUF2065
PF09839.10	DUF2066
PF09840.10	DUF2067
PF09842.10	DUF2069
PF09843.10	DUF2070
PF09844.10	DUF2071
PF09845.10	DUF2072
PF09846.10	DUF2073
PF09848.10	DUF2075
PF09849.10	DUF2076
PF09852.10	DUF2079
PF09853.10	DUF2080
PF09858.10	DUF2085
PF09860.10	DUF2087
PF09862.10	DUF2089
PF09863.10	DUF2090
PF09865.10	DUF2092
PF09866.10	DUF2093
PF09868.10	DUF2095
PF09869.10	DUF2096
PF09870.10	DUF2097
PF09871.10	DUF2098
PF09872.10	DUF2099
PF01595.21	DUF21
PF09873.10	DUF2100
PF09874.10	DUF2101
PF09875.10	DUF2102
PF09876.10	DUF2103
PF09877.10	DUF2104
PF09878.10	DUF2105
PF09879.10	DUF2106
PF09880.10	DUF2107
PF09881.10	DUF2108
PF09882.10	DUF2109
PF02680.15	DUF211
PF09883.10	DUF2110
PF09884.10	DUF2111
PF09885.10	DUF2112
PF09886.10	DUF2113
PF09887.10	DUF2114
PF09888.10	DUF2115
PF09889.10	DUF2116
PF09890.10	DUF2117
PF09891.10	DUF2118
PF09892.10	DUF2119
PF02681.15	DUF212
PF09893.10	DUF2120
PF09894.10	DUF2121
PF09895.10	DUF2122
PF09897.10	DUF2124
PF09898.10	DUF2125
PF09899.10	DUF2126
PF09900.10	DUF2127
PF09902.10	DUF2129
PF09903.10	DUF2130
PF09906.10	DUF2135
PF09909.10	DUF2138
PF09910.10	DUF2139
PF09911.10	DUF2140
PF09912.10	DUF2141
PF09913.10	DUF2142
PF09916.10	DUF2145
PF09917.10	DUF2147
PF09918.10	DUF2148
PF09919.10	DUF2149
PF09920.10	DUF2150
PF10221.10	DUF2151
PF10222.10	DUF2152
PF09921.10	DUF2153
PF09922.10	DUF2154
PF09923.10	DUF2155
PF09924.10	DUF2156
PF09925.10	DUF2157
PF09926.10	DUF2158
PF09928.10	DUF2160
PF09929.10	DUF2161
PF09930.10	DUF2162
PF09931.10	DUF2163
PF09932.10	DUF2164
PF09933.10	DUF2165
PF09935.10	DUF2167
PF09937.10	DUF2169
PF09938.10	DUF2170
PF09939.10	DUF2171
PF09940.10	DUF2172
PF09941.10	DUF2173
PF09943.10	DUF2175
PF09945.10	DUF2177
PF09946.10	DUF2178
PF10035.10	DUF2179
PF02698.18	DUF218
PF09947.10	DUF2180
PF10223.10	DUF2181
PF09948.10	DUF2182
PF09949.10	DUF2183
PF09950.10	DUF2184
PF09951.10	DUF2185
PF09953.10	DUF2187
PF09954.10	DUF2188
PF09955.10	DUF2189
PF09956.10	DUF2190
PF09958.10	DUF2192
PF09959.10	DUF2193
PF09960.10	DUF2194
PF09961.10	DUF2195
PF09962.10	DUF2196
PF09963.10	DUF2197
PF09964.10	DUF2198
PF09965.10	DUF2199
PF01629.17	DUF22
PF02713.15	DUF220
PF09966.10	DUF2200
PF09967.10	DUF2201
PF13203.7	DUF2201_N
PF09968.10	DUF2202
PF09969.10	DUF2203
PF09970.10	DUF2204
PF10224.10	DUF2205
PF09971.10	DUF2206
PF09972.10	DUF2207
PF09973.10	DUF2208
PF09974.10	DUF2209
PF09979.10	DUF2213
PF09980.10	DUF2214
PF09981.10	DUF2218
PF09982.10	DUF2219
PF02720.18	DUF222
PF09983.10	DUF2220
PF09986.10	DUF2225
PF09987.10	DUF2226
